SYSTEM_ID,TOTAL_INVOICES,UNPAID_INVOICES,LATE_INVOICES,PERCENTAGE_UNPAID_INVOICES,PERCENTAGE_LATE_INVOICES,MID_YEAR_PCT,FINAL_YEAR_PCT,FROM_ACTIVE,FROM_WITHDRAWN,IS_REINSTATED,Total_Days_Recorded,Present_Days,Attendance_Percentage,RO_PRIM_DESC,RO_SECN_DESC,CHURN
120162,12,0,0,0,0,72,67.0526315789474,1,,0,167,131,78.44,,,0
121109,12,0,0,0,0,89.28,91.2432432432432,1,,0,153,150,98.04,,,0
121151,12,0,0,0,0,65.28,61.4054054054054,1,,0,171,158,92.4,,,0
121186,12,2,2,16.6666666666667,16.6666666666667,57.1891891891892,54.2424242424243,1,,0,140,126,90,,,0
121225,12,0,0,0,0,88.96,89.945945945946,1,,0,171,141,82.46,,,0
121303,37,9,17,24.3243243243243,45.945945945946,71.7757009345794,71.027027027027,1,1,1,340,252,74.12,Initiated By School ,Unreachable ,1
121388,12,2,2,16.6666666666667,16.6666666666667,85.28,82.2702702702703,1,,0,164,150,91.46,,,0
121450,12,6,6,50,50,80,78.3157894736842,1,,0,163,148,90.8,,,0
121529,12,0,0,0,0,72.2857142857143,71.4444444444444,1,,0,167,152,91.02,,,0
121538,30,9,15,30,50,66.8702290076336,67.1578947368421,1,1,1,312,230,73.72,Initiated By School ,Unreachable ,1
121555,12,1,2,8.33333333333333,16.6666666666667,63.36,69.1891891891892,1,,0,168,145,86.31,,,0
122056,37,12,36,32.4324324324324,97.2972972972973,86.2,88.7,1,1,1,332,276,83.13,Others,IA,1
122056,37,12,36,32.4324324324324,97.2972972972973,86.2,88.7,1,1,1,332,276,83.13,Initiated By School ,Unreachable ,1
122056,37,12,36,32.4324324324324,97.2972972972973,86.2,88.7,1,1,1,332,276,83.13,Initiated By School ,Unreachable ,1
122056,37,12,36,32.4324324324324,97.2972972972973,86.2,88.7,1,1,1,332,276,83.13,Initiated By School ,Unreachable ,1
122431,12,0,0,0,0,86.5945945945946,86.2040816326531,1,,0,156,133,85.26,,,0
122612,12,0,0,0,0,86,83.8947368421053,1,,0,160,140,87.5,,,0
122793,12,2,4,16.6666666666667,33.3333333333333,84,86.2105263157895,1,,0,169,108,63.91,,,0
123035,12,0,0,0,0,79.1428571428572,72.421052631579,1,,0,162,150,92.59,,,0
123172,12,1,1,8.33333333333333,8.33333333333333,84.48,84.972972972973,1,,0,171,139,81.29,,,0
